chapter,section,exercise,status,variant_A,variant_B,drill,version
VIII,2,2.1,CLOSED,1,1,1,v030
VIII,2,2.2,CLOSED,1,1,1,v030
VIII,2,2.3,CLOSED,1,1,1,v030
VIII,2,2.4,CLOSED,1,1,1,v030
VIII,2,2.5,CLOSED,1,1,1,v030
VIII,2,2.6,CLOSED,1,1,1,v030
VIII,2,2.7,CLOSED,1,1,1,v030
VIII,2,2.8,CLOSED,1,1,1,v030
VIII,2,2.9,CLOSED,1,1,1,v030
VIII,2,2.10,CLOSED,1,1,1,v030
VIII,2,2.11,CLOSED,1,1,1,v030
VIII,2,2.12,CLOSED,1,1,1,v030
VIII,2,2.13,CLOSED,1,1,1,v030
VIII,2,2.14,CLOSED,1,1,1,v030
VIII,2,2.15,CLOSED,1,1,1,v030
VIII,2,2.16,CLOSED,1,1,1,v030
VIII,2,2.17,CLOSED,1,1,1,v030
VIII,2,2.18,CLOSED,1,1,1,v030
VIII,2,2.19,CLOSED,1,1,1,v030
VIII,2,2.20,CLOSED,1,1,1,v030
VIII,2,2.21,CLOSED,1,1,1,v030
VIII,2,2.22,CLOSED,1,1,1,v030
VIII,2,2.23,CLOSED,1,1,1,v030
VIII,2,2.24,CLOSED,1,1,1,v030
VIII,2,2.25,CLOSED,1,1,1,v030
