kind,K,p,RSS,R2,R2adj,AIC,BIC,LOOCV
cubic,2,6,1018980556.547343,0.606049,0.600547,5415.54893,5438.931853,2908141.667878
cubic,3,7,1023203020.579167,0.604416,0.597768,5419.054161,5446.334238,2952417.031205
cubic,4,8,1004294577.103681,0.611727,0.604092,5414.264636,5445.441867,2862965.018526
cubic,5,9,998807116.155205,0.613848,0.605146,5414.270288,5449.344673,2910542.425741
cubic,6,10,998955492.109502,0.613791,0.603972,5416.324357,5455.295896,2906703.335735
cubic,7,11,986133465.729445,0.618748,0.607948,5413.622016,5456.490709,2857259.630697
cubic,8,12,986219564.30748,0.618715,0.606799,5415.653796,5462.419642,2872175.578264
cubic,9,13,988357541.707313,0.617888,0.604824,5418.442039,5469.10504,2893814.926777
cubic,10,14,982324999.831923,0.62022,0.606114,5418.21352,5472.773674,2909002.288428
cubic,11,15,980233071.074409,0.621029,0.605827,5419.43753,5477.894838,2952072.561177
cubic,12,16,985002578.290471,0.619185,0.602771,5423.204345,5485.558807,2981874.857163
cubic,13,17,977698555.082299,0.622009,0.60458,5422.495144,5488.746759,2931792.511387
cubic,14,18,969084254.37779,0.625339,0.606931,5421.273802,5491.422572,2911427.017766
natural,3,3,1139392196.96432,0.559496,0.557056,5450.204922,5461.896384,3196911.118946
natural,4,4,1029011424.362239,0.602171,0.598856,5415.114632,5430.703248,2885111.285379
natural,5,5,1029808264.349717,0.601863,0.597427,5417.396396,5436.882165,2905646.965049
natural,6,6,1014486277.312775,0.607786,0.602309,5413.939934,5437.322857,2895603.45197
natural,7,7,1017609145.618222,0.606579,0.599967,5417.058705,5444.338782,2922272.243769
natural,8,8,1009042615.512282,0.609891,0.60222,5415.981476,5447.158707,2904538.314644
natural,9,9,998831711.048176,0.613839,0.605136,5414.279251,5449.353636,2880853.469256
natural,10,10,986758921.585906,0.618506,0.608807,5411.85281,5450.824349,2851343.837477
natural,11,11,985343261.635574,0.619053,0.608262,5413.330221,5456.198913,2863095.048145
natural,12,12,987352426.771556,0.618277,0.606348,5416.071679,5462.837526,2882161.848409
natural,13,13,979453552.724335,0.62133,0.608385,5415.147949,5465.810949,2884954.602197
natural,14,14,974507312.215066,0.623243,0.609249,5415.305091,5469.865246,2890474.612155
