教材或支线,最新可核定状态,尚余或状态,下一断点,说明
Griffiths 第二版,342/342,0,—,已清零
周世勋第二版 + 学习指导,40/54,14,6.1,第6–7章
顾樵《量子力学 I–II》,未建立完整逐题正式账,待冻结,卷I第1章首个习题组,第1–17章正式习题
曾谨言《量子力学导论》第二版,0正式题,待冻结,第1章首个章末题,全书章末习题
关洪《量子力学的基本概念》,题源待锁定,待冻结,分类建账,讨论题、证明题、计算题
关洪《量子力学基础》,尚未连续闭合,待冻结,第1章首题,12章全部习题
陈鄂生《量子力学基础教程》,4/150,146,第2章第1题,第2–10章及未完成题
曾谨言第三版 + 孙婷雅《习题剖析》,51道正式题；第1–4章清零,后续待做,5.1,每题1道本质变式+1道同类巩固
井孝功教材 + 习题解答,45/137,92,6.1,第1–5章清零
曾谨言《量子力学》卷I第四版,0正式题,待冻结,第1章首题,全部正式习题；四版独立题号
钱伯初《量子力学》+答案,已确认24个答案书可恢复题位,部分题位待严格映射,3-11,答案只作第二意见
苏汝铿第二版,8/181,173,2.1,第2章起连续推进
汪德新答案,缺完整教材映射,不可给严格分母,答案索引,不由答案反猜题面
Sakurai–Napolitano 第三版,241/242,1,SK-6.13,完整题面与原 Mathematica notebook SOURCE_LOCKED
Mizera,17/17,0,—,已清零
David Tong,112/112,0,—,已清零
Nielsen–Chuang,592/592,0,—,已清零
Preskill,123个跨年份唯一canonical题位,无新增已知编号题,题源审计,继续正确性与勘误认证
Steven H. Simon,141个数学题位已有解；49个final-certified,OUP认证未闭合,OUP页级认证,canonical映射继续闭合
