题号,主题,第三版题面页,二版答案范围,状态
7-1,线密度线性变化细杆的转动惯量,228,113-144,closed
7-2,有质量圆盘放绳与悬挂物,228,113-144,closed
7-3,粗糙水平面上旋转圆盘的停止时间,229,113-144,closed
7-4,旋转圆锥斜槽中的滑块,229,113-144,closed
7-5,自旋实心球在粗糙面上由滑动过渡到纯滚动,229,113-144,closed
7-6,均匀杆绕桌边转动并开始滑离的临界角,229,113-144,closed
7-7,子弹嵌入圆盘边缘：固定轴与自由盘的能量比较,229,113-144,closed
7-8,滚动弹性球撞粗糙竖墙后的再滚动,230,113-144,closed
7-9,旋转杆上两滑珠向端点滑动,230,113-144,closed
7-10,两相同细杆铰接下落时铰点速度,230,113-144,closed
7-11,两光滑墙与光滑钉支撑均匀杆的平衡,230,113-144,closed
7-12,高速飞轮带动平台进动所需力矩,230,113-144,closed
7-13,运动小球碰轻杆双球系统后的角速度,230,113-144,closed
7-14,弹性碰撞后三球系统的平动与转动,230,113-144,closed
7-15,正三角形薄板绕一边的转动惯量,231,113-144,closed
7-16,三孔圆盘的转动惯量,231,113-144,closed
7-17,双圆盘与连接杆组合体的转动惯量,231,113-144,closed
7-18,有质量定滑轮的阿特伍德系统,231,113-144,closed
7-19,绳在有摩擦滑轮上滑动的阿特伍德机,231,113-144,closed
7-20,皮带连接两轮的角加速度,231,113-144,closed
7-21,圆盘放带经过定滑轮悬挂重物,232,113-144,closed
7-22,圆柱纯滚下斜面允许的最大倾角,232,113-144,closed
7-23,圆柱滚下斜面并带动定滑轮,232,113-144,closed
7-24,人在自由圆盘边缘行走引起盘反转,232,113-144,closed
7-25,四个边缘质点与玩具车在轻盘上运动,232,113-144,closed
7-26,偏心转轴圆盘上玩具车沿边行驶,233,113-144,closed
7-27,两滑珠在轻杆上径向滑动的解析运动,233,113-144,closed
7-28,子弹嵌入悬挂细棒后的最大偏角,233,113-144,closed
7-29,三质点轻杆复合摆受子弹冲击,233,113-144,closed
7-30,释放水平悬出桌边细杆时的桌边作用力,233,113-144,closed
7-31,对称双杆随竖直轴转动时的轴承水平力,233,113-144,closed
7-32,直角尺在竖直面内摆动的最大角,233,113-144,closed
7-33,加速木板上的圆柱纯滚动,234,113-144,closed
7-34,细棒受端点横向冲量后的平动与转动,234,113-144,closed
7-35,滚动小球离轨后竖直上抛的最大高度,234,113-144,closed
7-36,对静止实心球施加偏心水平冲量后的滚动,234,113-144,closed
7-37,两相同滚动球弹性对心碰撞后的摩擦再调整,234,113-144,closed
7-38,方板由墙和绳支撑的静力平衡,234,113-144,closed
7-39,线轴受斜拉力时前滚/后滚判据与摩擦条件,234,113-144,closed
7-40,倾斜圆盘绕竖轴转动时的轴承水平作用力,235,113-144,closed
7-41,陀螺的匀速进动与枢纽反力,235,113-144,closed
7-42,硬币绕大圆纯滚动时的倾角,235,113-144,closed
7-43,45度陀螺在桌面上无滑动滚动,235,113-144,closed
