题号,第三版题面物理页,书后简答物理页,状态,配套题数,口径/纠错备注
11-1,358,411,已闭合,3,
11-2,358,411,已闭合,3,
11-3,358,411,已闭合,3,
11-4,358,411,已闭合,3,
11-5,358,411,已闭合,3,
11-6,359,411,已闭合,3,
11-7,359,411,已闭合,3,
11-8,359,411,已闭合,3,
11-9,359,411,已闭合,3,
11-10,359,411,已闭合,3,
11-11,359,411,已闭合,3,
11-12,359,411,已闭合,3,
11-13,359,411,已闭合,3,
11-14,359,411,已闭合,3,
11-15,359,411,已闭合,3,
11-16,359,411,已闭合,3,书后0.47 m与题面2c/5不相容；正文按题面得21/29 m
11-17,359,411,已闭合,3,
11-18,360,411,已闭合,3,书后54 m为初始收缩船长；题问到达时距离应为270 m
11-19,360,411,已闭合,3,简答第(1)问在411页，余项续至412页
11-20,360,412,已闭合,3,
11-21,360,412,已闭合,3,
11-22,360,412,已闭合,3,
11-23,360,412,已闭合,3,
11-24,360,412,已闭合,3,
11-25,360,412,已闭合,3,
11-26,360,412,已闭合,3,
11-27,361,412,已闭合,3,方向约定决定第二次多普勒符号；正文单列口径
11-28,361,412,已闭合,3,
11-29,361,412,已闭合,3,
11-30,361,412,已闭合,3,
11-31,361,412,已闭合,3,
11-32,361,412,已闭合,3,
11-33,361,412,已闭合,3,精确tan(theta)=27/200；书后小数略有偏差
11-34,361,412,已闭合,3,区分严格阈值与复现题设6 GeV不变量的等效束流能量
11-35,361,412,已闭合,3,
11-36,361,412,已闭合,3,
11-37,362,412,已闭合,3,
11-38,362,412,已闭合,3,书后F0′与t′和事件/功能反代不相容；正文给独立纠错
