ID,题号,标题,题面PDF物理页,书后短答PDF物理页,证据等级,本质不同变式,同类巩固,状态
ZY-CH1-1-1,1-1,由位置函数计算平均量和瞬时量,64,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-2,1-2,已知速度函数反求位置、位移和加速度,64,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-3,1-3,矢量速度积分与到达坐标轴的时刻,64,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-4,1-4,恒加速度平面运动中的横坐标极值,64,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-5,1-5,参数方程表示的匀速圆周运动,64,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-6,1-6,两石块落地时间差测楼高,64--65,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-7,1-7,竖直上抛两高度之间的距离,65,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-8,1-8,连续两个等距离区间反求匀加速度,65,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-9,1-9,斜面加速与水平面减速的分段运动,65,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-10,1-10,加速—匀速—制动列车的总时间,65,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-11,1-11,有加速度上限时的最短行车时间,65,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-12,1-12,固定水平底边的光滑斜面最速下滑,65,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-13,1-13,绳长约束下两辆小车的速度和加速度,65,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-14,1-14,靠墙滑杆端点的速度与加速度,65,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-15,1-15,由落地速度方向反求平抛高度,66,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-16,1-16,平抛速度与加速度夹角的变化,66,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-17,1-17,先自由落体再水平反弹的最远射程,66,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-18,1-18,小球沿长楼梯逐级弹跳,66,566,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-19,1-19,斜坡上的斜抛射程及最优抛角,66,566--567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-20,1-20,越过桌面另一边并落在指定距离,66,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-21,1-21,同速率各向抛射的瞬时圆与最高点椭圆,66--67,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-22,1-22,近地圆轨道卫星的向心加速度,67,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-23,1-23,地球自转加快到物体恰好失重,67,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-24,1-24,绳子从定滑轮上无滑动放下,67,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-25,1-25,圆周运动中由加速度方向反求半径与减速度,67,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-26,1-26,平移直线与固定圆的交点运动,67,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-27,1-27,三个质点互相追逐,67,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-28,1-28,流水中游泳的“正对岸”与“最短时间”,67--68,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-29,1-29,跑步者感受到的风向反求真实风,68,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-30,1-30,两条平移直线交点的速度,68,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-31,1-31,平移半圆柱面上的绳约束小球,68,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-32,1-32,两个同受重力石块的最小距离,68,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-33,1-33,滑冰者向圆心投球的相对速度,68,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-34,1-34,流水中两船最短时间相遇,68,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-35,1-35,有风时飞机往返航程,68,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-36,1-36,船速只有水流一半时的最小下游漂移,68,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-37,1-37,转动圆盘上又沿圆周运动的点,68,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-38,1-38,大、小圆盘复合转动中的速度和加速度,68--69,567,A-SOURCE-LOCKED,2,1,CLOSED
ZY-CH1-1-39,1-39,超光速之谜：光行时差造成的视运动,69--70,567--568,A-SOURCE-LOCKED,2,1,CLOSED
