chapter,exercise,print_page_start,print_page_end,pdf_physical_page_start,pdf_physical_page_end,status,note
10,10.1,354,354,377,377,SOURCE_LOCKED+SOLVED,
10,10.2,354,354,377,377,SOURCE_LOCKED+SOLVED,
10,10.3,354,354,377,377,SOURCE_LOCKED+SOLVED,
10,10.4,354,354,377,377,SOURCE_LOCKED+SOLVED,
10,10.5,354,354,377,377,SOURCE_LOCKED+SOLVED,
10,10.6,354,354,377,377,SOURCE_LOCKED+SOLVED,
10,10.7,355,355,378,378,SOURCE_LOCKED+SOLVED,
10,10.8,355,355,378,378,SOURCE_LOCKED+SOLVED,
10,10.9,355,355,378,378,SOURCE_LOCKED+SOLVED,
10,10.10,355,355,378,378,SOURCE_LOCKED+SOLVED,
10,10.11,355,355,378,378,SOURCE_LOCKED+SOLVED,
10,10.12,355,355,378,378,SOURCE_LOCKED+SOLVED,
10,10.13,355,355,378,378,SOURCE_LOCKED+SOLVED,
11,11.1,374,374,397,397,SOURCE_LOCKED+SOLVED,
11,11.2,374,375,397,398,SOURCE_LOCKED+SOLVED,题面始于374页并续至375页
11,11.3,375,375,398,398,SOURCE_LOCKED+SOLVED,
11,11.4,375,375,398,398,SOURCE_LOCKED+SOLVED,
11,11.5,375,375,398,398,SOURCE_LOCKED+SOLVED,
11,11.6,375,375,398,398,SOURCE_LOCKED+SOLVED,
11,11.7,375,375,398,398,SOURCE_LOCKED+SOLVED,
11,11.8,376,376,399,399,SOURCE_LOCKED+SOLVED,
11,11.9,376,376,399,399,SOURCE_LOCKED+SOLVED,
11,11.10,376,377,399,400,SOURCE_LOCKED+SOLVED,题面始于376页并续至377页
11,11.11,377,377,400,400,SOURCE_LOCKED+SOLVED,
11,11.12,377,377,400,400,SOURCE_LOCKED+SOLVED,
11,11.13,377,377,400,400,SOURCE_LOCKED+SOLVED,
11,11.14,377,377,400,400,SOURCE_LOCKED+SOLVED,
11,11.15,377,378,400,401,SOURCE_LOCKED+SOLVED,题面始于377页并续至378页
11,11.16,378,378,401,401,SOURCE_LOCKED+SOLVED,
11,11.17,378,378,401,401,SOURCE_LOCKED+SOLVED,
11,11.18,378,379,401,402,SOURCE_LOCKED+SOLVED,题面始于378页并续至379页
11,11.19,379,379,402,402,SOURCE_LOCKED+SOLVED,
11,11.20,379,379,402,402,SOURCE_LOCKED+SOLVED,
11,11.21,379,379,402,402,SOURCE_LOCKED+SOLVED,
11,11.22,379,380,402,403,SOURCE_LOCKED+SOLVED,题面始于379页并续至380页
11,11.23,380,380,403,403,SOURCE_LOCKED+SOLVED,
11,11.24,380,381,403,404,SOURCE_LOCKED+SOLVED,题面始于380页并续至381页
12,12.1,405,405,428,428,SOURCE_LOCKED+SOLVED,
12,12.2,405,405,428,428,SOURCE_LOCKED+SOLVED,
12,12.3,405,405,428,428,SOURCE_LOCKED+SOLVED,
12,12.4,405,405,428,428,SOURCE_LOCKED+SOLVED,
12,12.5,405,405,428,428,SOURCE_LOCKED+SOLVED,
12,12.6,406,406,429,429,SOURCE_LOCKED+SOLVED,
12,12.7,406,406,429,429,SOURCE_LOCKED+SOLVED,
12,12.8,406,406,429,429,SOURCE_LOCKED+SOLVED,
12,12.9,406,406,429,429,SOURCE_LOCKED+SOLVED,
12,12.10,406,406,429,429,SOURCE_LOCKED+SOLVED,
12,12.11,406,407,429,430,SOURCE_LOCKED+SOLVED,题面始于406页并续至407页
12,12.12,407,407,430,430,SOURCE_LOCKED+SOLVED,
12,12.13,407,407,430,430,SOURCE_LOCKED+SOLVED,
