source_id,volume,chapter,source_location,topic,status,distinct_variants,same_type_reinforcement,training_units_including_source
GQ-I-1.1-A,I,1,PDF 物理页 27，印刷页 12,一维空腔电场本征模,严格闭合,2,1,4
GQ-I-1.1-B,I,1,PDF 物理页 27--29，印刷页 12--14,正方体空腔的电磁模密度,严格闭合,2,1,4
GQ-I-1.2-1,I,1,PDF 物理页 39，印刷页 24,普朗克谱的频率峰、波长峰及其乘积,严格闭合,2,1,4
GQ-I-1.2-2,I,1,PDF 物理页 40，印刷页 25,从普朗克公式推出 T^4 定律,严格闭合,2,1,4
GQ-I-1.2-3,I,1,PDF 物理页 40--42，印刷页 25--27,爱因斯坦固体比热,严格闭合,2,1,4
GQ-I-1.3-1,I,1,PDF 物理页 44--45，印刷页 29--30,光电效应求逸出功,严格闭合,2,1,4
GQ-I-1.3-2,I,1,PDF 物理页 49--50，印刷页 34--35,康普顿散射波长与反冲能量,严格闭合,2,1,4
GQ-I-1.4-1,I,1,PDF 物理页 59--60，印刷页 44--45,玻尔模型的对应原理极限,严格闭合,2,1,4
GQ-I-1.4-2,I,1,PDF 物理页 60，印刷页 45,从作用量量子化恢复玻尔角动量条件,严格闭合,2,1,4
GQ-I-1.4-3,I,1,PDF 物理页 60--61，印刷页 45--46,旧量子论的一维谐振子能级,严格闭合,2,1,4
GQ-I-1.5-0,I,1,PDF 物理页 63，印刷页 48,20 eV 电子的德布罗意波长,严格闭合,2,1,4
GQ-I-1.5-1,I,1,PDF 物理页 67，印刷页 52,室温中子的德布罗意波长,严格闭合,2,1,4
GQ-I-1.5-2,I,1,PDF 物理页 68，印刷页 53,1 GeV 电子的相对论速度与波长,严格闭合,2,1,4
GQ-I-2.1-A,I,2,PDF 物理页 73--74，印刷页 58--59,高斯波函数归一化,严格闭合,2,1,4
GQ-I-2.1-B,I,2,PDF 物理页 76--77，印刷页 61--62,分段三角波函数：归一化、概率密度与区间概率,严格闭合,2,1,4
GQ-I-2.1-C,I,2,PDF 物理页 78--79，印刷页 63--64,同一分段态的平均位置与平均动量,严格闭合,2,1,4
GQ-I-2.1-D,I,2,PDF 物理页 79--80，印刷页 64--65,Ehrenfest 定理,严格闭合,2,1,4
GQ-I-2.2-A,I,2,PDF 物理页 82，印刷页 67,一维自由平面波的概率流,严格闭合,2,1,4
GQ-I-2.2-B,I,2,PDF 物理页 87--89，印刷页 72--74,氢原子基态的动能、势能与总能量期望值,严格闭合,2,1,4
GQ-I-2.3-A,I,2,PDF 物理页 92--93，印刷页 77--78,两个能量本征态的相干叠加与量子拍频,严格闭合,2,1,4
GQ-I-2.3-B,I,2,PDF 物理页 95--97，印刷页 80--82,余弦初态的自由演化,严格闭合,2,1,4
GQ-I-2.3-C,I,2,PDF 物理页 97--98，印刷页 82--83,点源初态与自由传播子,严格闭合,2,1,4
GQ-I-2.3-D,I,2,PDF 物理页 98--100，印刷页 83--85,Fresnel 型 delta 极限与长时间驻相近似,严格闭合,2,1,4
GQ-I-2.3-E,I,2,PDF 物理页 100--101，印刷页 85--86,矩形初态的自由衍射与远场 sinc 平方轮廓,严格闭合,2,1,4
GQ-I-2.3-F,I,2,PDF 物理页 102，印刷页 87,指数初态的自由演化与远场轮廓,严格闭合,2,1,4
GQ-I-2.3-G,I,2,PDF 物理页 103--105，印刷页 88--90,静止高斯波包的精确自由演化,严格闭合,2,1,4
GQ-I-2.3-H,I,2,PDF 物理页 105--108，印刷页 90--93,带载波高斯波包：群速度、展宽与概率流,严格闭合,2,1,4
GQ-I-2.4-A,I,2,PDF 物理页 112--113，印刷页 97--98,常势区的三类定态解,严格闭合,2,1,4
GQ-I-3.1-1,I,3,PDF 物理页 121，印刷页 106,由德布罗意驻波条件推出无限深势阱能级,严格闭合,2,1,4
GQ-I-3.1-2,I,3,PDF 物理页 121，印刷页 106,无限深势阱本征态的平均位置、平均动量与不确定度,严格闭合,2,1,4
